Lines of code metrics,Fr., 11 Apr. 2025 12:32:19 MESZ
Method,CLOC,JLOC,LOC,NCLOC,RLOC
ch.unibas.dmi.dbis.cs108.client.core.entities.Statue.getName(),0,0,3,3,"12,50%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Statue.getStatueID(),0,0,3,3,"12,50%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Statue.getUseType(),0,0,3,3,"12,50%"
"ch.unibas.dmi.dbis.cs108.client.core.entities.Structure.Structure(int, String, String, String, int)",0,0,7,7,"26,92%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Structure.getDescription(),0,0,3,3,"11,54%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Structure.getName(),0,0,3,3,"11,54%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Structure.getStructureID(),0,0,3,3,"11,54%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Structure.getUseType(),0,0,3,3,"11,54%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Tile.Tile(TileBuilder),0,0,16,16,"8,70%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Tile.TileBuilder.build(),0,0,3,3,"4,00%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Tile.TileBuilder.setArtifact(Artefact),0,0,4,4,"5,33%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Tile.TileBuilder.setHasRiver(boolean),0,0,4,4,"5,33%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Tile.TileBuilder.setHasStructure(boolean),0,0,4,4,"5,33%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Tile.TileBuilder.setOwner(String),0,0,4,4,"5,33%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Tile.TileBuilder.setPrice(int),0,0,4,4,"5,33%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Tile.TileBuilder.setPurchased(boolean),0,0,4,4,"5,33%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Tile.TileBuilder.setResourceValue(int),0,0,4,4,"5,33%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Tile.TileBuilder.setStatue(Statue),0,0,4,4,"5,33%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Tile.TileBuilder.setStructure(Structure),0,0,4,4,"5,33%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Tile.TileBuilder.setTileID(int),0,0,4,4,"5,33%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Tile.TileBuilder.setTrap(ClientActiveTrap),0,0,4,4,"5,33%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Tile.TileBuilder.setWorld(String),0,0,4,4,"5,33%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Tile.TileBuilder.setX(int),0,0,4,4,"5,33%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Tile.TileBuilder.setY(int),0,0,4,4,"5,33%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Tile.getArtifact(),0,0,3,3,"1,63%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Tile.getHasStructure(),0,0,3,3,"1,63%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Tile.getOwner(),0,0,3,3,"1,63%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Tile.getPrice(),0,0,3,3,"1,63%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Tile.getResourceValue(),0,0,3,3,"1,63%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Tile.getStatue(),0,0,3,3,"1,63%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Tile.getStructure(),0,0,3,3,"1,63%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Tile.getTileID(),0,0,3,3,"1,63%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Tile.getTrap(),0,0,3,3,"1,63%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Tile.getWorld(),0,0,3,3,"1,63%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Tile.getX(),0,0,3,3,"1,63%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Tile.getY(),0,0,3,3,"1,63%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Tile.hasRiver(),0,0,3,3,"1,63%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Tile.isPurchased(),0,0,3,3,"1,63%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Tile.setArtifact(Artefact),0,0,3,3,"1,63%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Tile.setHasRiver(boolean),0,0,3,3,"1,63%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Tile.setHasStructure(boolean),0,0,3,3,"1,63%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Tile.setOwner(String),0,0,3,3,"1,63%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Tile.setPurchased(boolean),0,0,3,3,"1,63%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Tile.setResourceValue(int),0,0,3,3,"1,63%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Tile.setStatue(Statue),0,0,3,3,"1,63%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Tile.setStructure(Structure),0,0,3,3,"1,63%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Tile.setTrap(ClientActiveTrap),0,0,3,3,"1,63%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Tile.toString(),0,0,8,8,"4,35%"
ch.unibas.dmi.dbis.cs108.client.core.entities.artefacts.Artefact.Artefact(ArtefactData),4,5,12,7,"31,58%"
ch.unibas.dmi.dbis.cs108.client.core.entities.artefacts.ArtefactData.getChance(),3,4,7,3,"15,22%"
ch.unibas.dmi.dbis.cs108.client.core.entities.artefacts.ArtefactData.getDescription(),3,4,7,3,"15,22%"
ch.unibas.dmi.dbis.cs108.client.core.entities.artefacts.ArtefactData.getId(),3,4,7,3,"15,22%"
ch.unibas.dmi.dbis.cs108.client.core.entities.artefacts.ArtefactData.getName(),3,4,7,3,"15,22%"
ch.unibas.dmi.dbis.cs108.client.core.entities.artefacts.ArtefactData.getUseType(),3,4,7,3,"15,22%"
ch.unibas.dmi.dbis.cs108.client.core.entities.artefacts.ArtefactFactory.createArtefact(ArtefactData),4,6,27,21,"81,82%"
ch.unibas.dmi.dbis.cs108.client.core.entities.artefacts.ArtefactRepository.loadArtefacts(),4,5,16,11,"72,73%"
ch.unibas.dmi.dbis.cs108.client.core.entities.artefacts.AshesOfSurtr.AshesOfSurtr(ArtefactData),5,6,9,3,"60,00%"
ch.unibas.dmi.dbis.cs108.client.core.entities.artefacts.BloodOfJoermungand.BloodOfJoermungand(ArtefactData),5,6,9,3,"60,00%"
ch.unibas.dmi.dbis.cs108.client.core.entities.artefacts.FenrirsBones.FenrirsBones(ArtefactData),5,6,9,3,"64,29%"
ch.unibas.dmi.dbis.cs108.client.core.entities.artefacts.FenrirsChains.FenrirsChains(ArtefactData),5,6,9,3,"60,00%"
ch.unibas.dmi.dbis.cs108.client.core.entities.artefacts.FlameOfMuspelheim.FlameOfMuspelheim(ArtefactData),4,5,8,3,"61,54%"
ch.unibas.dmi.dbis.cs108.client.core.entities.artefacts.FragmentOfMjoelnir.FragmentOfMjoelnir(ArtefactData),4,5,8,3,"61,54%"
ch.unibas.dmi.dbis.cs108.client.core.entities.artefacts.FreyjasNecklace.FreyjasNecklace(ArtefactData),4,5,8,3,"61,54%"
ch.unibas.dmi.dbis.cs108.client.core.entities.artefacts.FreyrsGoldenApple.FreyrsGoldenApple(ArtefactData),4,5,8,3,"61,54%"
ch.unibas.dmi.dbis.cs108.client.core.entities.artefacts.HelsShadow.HelsShadow(ArtefactData),0,0,3,3,"60,00%"
ch.unibas.dmi.dbis.cs108.client.core.entities.artefacts.IceSplinterOfNiflheim.IceSplinterOfNiflheim(ArtefactData),0,0,3,3,"60,00%"
ch.unibas.dmi.dbis.cs108.client.core.entities.artefacts.OdinsEye.OdinsEye(ArtefactData),0,0,3,3,"60,00%"
ch.unibas.dmi.dbis.cs108.client.core.entities.artefacts.TearOfYggdrasil.TearOfYggdrasil(ArtefactData),0,0,3,3,"60,00%"
ch.unibas.dmi.dbis.cs108.client.core.entities.statue.Dwarf.Dwarf(StatueData),5,6,9,3,"60,00%"
ch.unibas.dmi.dbis.cs108.client.core.entities.statue.Freyja.Freyja(StatueData),4,5,8,3,"61,54%"
ch.unibas.dmi.dbis.cs108.client.core.entities.statue.Freyr.Freyr(StatueData),4,5,8,3,"61,54%"
ch.unibas.dmi.dbis.cs108.client.core.entities.statue.Hel.Hel(StatueData),0,0,3,3,"60,00%"
ch.unibas.dmi.dbis.cs108.client.core.entities.statue.Joermungandr.Joermungandr(StatueData),0,0,3,3,"60,00%"
ch.unibas.dmi.dbis.cs108.client.core.entities.statue.Loki.Loki(StatueData),0,0,3,3,"60,00%"
ch.unibas.dmi.dbis.cs108.client.core.entities.statue.Nidhoeggr.Nidhoeggr(StatueData),0,0,3,3,"60,00%"
ch.unibas.dmi.dbis.cs108.client.core.entities.statue.Statue.Statue(StatueData),0,0,10,10,"50,00%"
ch.unibas.dmi.dbis.cs108.client.core.entities.statue.StatueData.getBlessing(),0,0,3,3,"8,57%"
ch.unibas.dmi.dbis.cs108.client.core.entities.statue.StatueData.getCost(),0,0,3,3,"8,57%"
ch.unibas.dmi.dbis.cs108.client.core.entities.statue.StatueData.getCurse(),0,0,3,3,"8,57%"
ch.unibas.dmi.dbis.cs108.client.core.entities.statue.StatueData.getDeal(),0,0,3,3,"8,57%"
ch.unibas.dmi.dbis.cs108.client.core.entities.statue.StatueData.getDescription(),0,0,3,3,"8,57%"
ch.unibas.dmi.dbis.cs108.client.core.entities.statue.StatueData.getId(),0,0,3,3,"8,57%"
ch.unibas.dmi.dbis.cs108.client.core.entities.statue.StatueData.getName(),1,0,4,3,"11,43%"
ch.unibas.dmi.dbis.cs108.client.core.entities.statue.StatueData.getUseType(),0,0,3,3,"8,57%"
ch.unibas.dmi.dbis.cs108.client.core.entities.statue.StatueFactory.createStatue(StatueData),0,0,13,13,"86,67%"
ch.unibas.dmi.dbis.cs108.client.core.entities.statue.Surtr.Surtr(StatueData),0,0,3,3,"60,00%"
ch.unibas.dmi.dbis.cs108.client.core.entities.structures.Helgrindr.Helgrindr(StructureData),0,0,3,3,"60,00%"
ch.unibas.dmi.dbis.cs108.client.core.entities.structures.HuginnAndMuninn.HuginnAndMuninn(StructureData),0,0,3,3,"60,00%"
ch.unibas.dmi.dbis.cs108.client.core.entities.structures.Mimisbrunnr.Mimisbrunnr(StructureData),0,0,3,3,"60,00%"
ch.unibas.dmi.dbis.cs108.client.core.entities.structures.RansHall.RansHall(StructureData),0,0,3,3,"60,00%"
ch.unibas.dmi.dbis.cs108.client.core.entities.structures.RuneTable.RuneTable(StructureData),0,0,3,3,"60,00%"
ch.unibas.dmi.dbis.cs108.client.core.entities.structures.Structure.Structure(StructureData),0,0,8,8,"50,00%"
ch.unibas.dmi.dbis.cs108.client.core.entities.structures.StructureData.getCost(),0,0,3,3,"11,54%"
ch.unibas.dmi.dbis.cs108.client.core.entities.structures.StructureData.getDescription(),0,0,3,3,"11,54%"
ch.unibas.dmi.dbis.cs108.client.core.entities.structures.StructureData.getId(),0,0,3,3,"11,54%"
ch.unibas.dmi.dbis.cs108.client.core.entities.structures.StructureData.getName(),0,0,3,3,"11,54%"
ch.unibas.dmi.dbis.cs108.client.core.entities.structures.StructureData.getUsage(),0,0,3,3,"11,54%"
ch.unibas.dmi.dbis.cs108.client.core.entities.structures.StructureData.getUseType(),0,0,3,3,"11,54%"
ch.unibas.dmi.dbis.cs108.client.core.entities.structures.StructureFactory.createStructure(StructureData),0,0,12,12,"85,71%"
ch.unibas.dmi.dbis.cs108.client.core.entities.structures.StructureRepository.loadStructures(),0,0,20,20,"86,96%"
ch.unibas.dmi.dbis.cs108.client.core.entities.structures.SurtursSmeltery.SurtursSmeltery(StructureData),0,0,3,3,"60,00%"
ch.unibas.dmi.dbis.cs108.client.core.entities.structures.Tree.Tree(StructureData),0,0,3,3,"60,00%"
"ch.unibas.dmi.dbis.cs108.client.core.events.ArtifactAcquiredEvent.ArtifactAcquiredEvent(Player, Artefact)",4,6,10,4,"29,41%"
ch.unibas.dmi.dbis.cs108.client.core.events.ArtifactAcquiredEvent.getArtifact(),4,5,8,3,"23,53%"
ch.unibas.dmi.dbis.cs108.client.core.events.ArtifactAcquiredEvent.getPlayer(),4,5,8,3,"23,53%"
"ch.unibas.dmi.dbis.cs108.client.core.events.ArtifactActivatedEvent.ArtifactActivatedEvent(Player, Artefact)",4,6,10,4,"29,41%"
ch.unibas.dmi.dbis.cs108.client.core.events.ArtifactActivatedEvent.getArtifact(),4,5,8,3,"23,53%"
ch.unibas.dmi.dbis.cs108.client.core.events.ArtifactActivatedEvent.getPlayer(),4,5,8,3,"23,53%"
ch.unibas.dmi.dbis.cs108.client.core.events.EventDispatcher.dispatch(GameEvent),4,5,10,5,"35,71%"
ch.unibas.dmi.dbis.cs108.client.core.events.EventDispatcher.register(GameEventListener),4,5,8,3,"28,57%"
ch.unibas.dmi.dbis.cs108.client.core.events.GameRoundEndedEvent.GameRoundEndedEvent(int),4,5,8,3,"32,00%"
ch.unibas.dmi.dbis.cs108.client.core.events.GameRoundEndedEvent.getRoundNumber(),4,5,8,3,"32,00%"
ch.unibas.dmi.dbis.cs108.client.core.events.GameRoundStartedEvent.GameRoundStartedEvent(int),0,0,3,3,"33,33%"
ch.unibas.dmi.dbis.cs108.client.core.events.GameRoundStartedEvent.getRoundNumber(),0,0,3,3,"33,33%"
"ch.unibas.dmi.dbis.cs108.client.core.events.StatueActivatedEvent.StatueActivatedEvent(Player, Statue, Outcome)",0,0,5,5,"25,00%"
ch.unibas.dmi.dbis.cs108.client.core.events.StatueActivatedEvent.getOutcome(),0,0,3,3,"15,00%"
ch.unibas.dmi.dbis.cs108.client.core.events.StatueActivatedEvent.getPlayer(),0,0,3,3,"15,00%"
ch.unibas.dmi.dbis.cs108.client.core.events.StatueActivatedEvent.getStatue(),0,0,3,3,"15,00%"
"ch.unibas.dmi.dbis.cs108.client.core.events.StatuePurchasedEvent.StatuePurchasedEvent(Player, Tile, Statue)",0,0,5,5,"26,32%"
ch.unibas.dmi.dbis.cs108.client.core.events.StatuePurchasedEvent.getPlayer(),0,0,3,3,"15,79%"
ch.unibas.dmi.dbis.cs108.client.core.events.StatuePurchasedEvent.getStatue(),0,0,3,3,"15,79%"
ch.unibas.dmi.dbis.cs108.client.core.events.StatuePurchasedEvent.getTile(),0,0,3,3,"15,79%"
"ch.unibas.dmi.dbis.cs108.client.core.events.StructurePurchasedEvent.StructurePurchasedEvent(Player, Tile, Structure)",0,0,5,5,"26,32%"
ch.unibas.dmi.dbis.cs108.client.core.events.StructurePurchasedEvent.getPlayer(),0,0,3,3,"15,79%"
ch.unibas.dmi.dbis.cs108.client.core.events.StructurePurchasedEvent.getStructure(),0,0,3,3,"15,79%"
ch.unibas.dmi.dbis.cs108.client.core.events.StructurePurchasedEvent.getTile(),0,0,3,3,"15,79%"
"ch.unibas.dmi.dbis.cs108.client.core.events.StructureUpgradedEvent.StructureUpgradedEvent(Player, Structure, int, int)",0,0,6,6,"25,00%"
ch.unibas.dmi.dbis.cs108.client.core.events.StructureUpgradedEvent.getNewLevel(),0,0,3,3,"12,50%"
ch.unibas.dmi.dbis.cs108.client.core.events.StructureUpgradedEvent.getPlayer(),0,0,3,3,"12,50%"
ch.unibas.dmi.dbis.cs108.client.core.events.StructureUpgradedEvent.getPreviousLevel(),0,0,3,3,"12,50%"
ch.unibas.dmi.dbis.cs108.client.core.events.StructureUpgradedEvent.getStructure(),0,0,3,3,"12,50%"
"ch.unibas.dmi.dbis.cs108.client.core.events.TilePurchasedEvent.TilePurchasedEvent(Player, Tile)",0,0,4,4,"28,57%"
ch.unibas.dmi.dbis.cs108.client.core.events.TilePurchasedEvent.getPlayer(),0,0,3,3,"21,43%"
ch.unibas.dmi.dbis.cs108.client.core.events.TilePurchasedEvent.getTile(),0,0,3,3,"21,43%"
"ch.unibas.dmi.dbis.cs108.client.core.events.TrapPlacedEvent.TrapPlacedEvent(Player, Tile)",1,0,5,4,"26,32%"
ch.unibas.dmi.dbis.cs108.client.core.events.TrapPlacedEvent.getPlayer(),0,0,3,3,"15,79%"
ch.unibas.dmi.dbis.cs108.client.core.events.TrapPlacedEvent.getTile(),0,0,3,3,"15,79%"
"ch.unibas.dmi.dbis.cs108.client.core.events.TrapTriggeredEvent.TrapTriggeredEvent(Player, Tile)",1,0,5,4,"26,32%"
ch.unibas.dmi.dbis.cs108.client.core.events.TrapTriggeredEvent.getTile(),0,0,3,3,"15,79%"
ch.unibas.dmi.dbis.cs108.client.core.events.TrapTriggeredEvent.getTriggeredPlayer(),0,0,3,3,"15,79%"
ch.unibas.dmi.dbis.cs108.client.core.game.GameEngine.GameEngine(GameState),5,5,12,6,"20,34%"
ch.unibas.dmi.dbis.cs108.client.core.game.GameEngine.getEventDispatcher(),4,5,8,3,"13,56%"
ch.unibas.dmi.dbis.cs108.client.core.game.GameEngine.processGameRound(GameRound),4,5,8,3,"13,56%"
ch.unibas.dmi.dbis.cs108.client.core.game.GameEngine.processTurn(List<Command>),6,5,13,6,"22,03%"
ch.unibas.dmi.dbis.cs108.client.core.observer.GameEventListener.onEvent(GameEvent),4,n/a,n/a,1,"50,00%"
ch.unibas.dmi.dbis.cs108.client.core.rules.ResourceGenerationRule.apply(GameState),1,0,9,8,"56,25%"
ch.unibas.dmi.dbis.cs108.client.core.rules.ResourceGenerationRule.isApplicable(GameState),1,0,5,4,"31,25%"
ch.unibas.dmi.dbis.cs108.client.core.rules.Rule.apply(GameState),0,n/a,n/a,1,"25,00%"
